"size","time","it","mean","variance","median"
1e+06,7.03771662712097,3,26.9058489999999,208128135.334245,1
1e+07,34.8202288150787,3,16.4643485999998,24174260.2700784,2
100,0.0402827262878418,4,5.67,186.344545454545,2
1000,0.0599875450134277,4,7.917,3555.89600700701,1
10000,0.0807361602783203,4,8.5857,14746.4645019602,1
1e+05,0.550710201263428,4,11.70937,208134.723971443,1
1e+06,4.72324991226196,4,16.331467,19388267.2415878,2
1e+07,70.354104757309,4,33.4507568000003,3352738421.65753,1
100,0.0403075218200684,5,4.33,52.3849494949495,2
1000,0.0582489967346191,5,8.912,3003.28754354354,1
10000,0.0816898345947266,5,7.6658,6525.95290565057,1
1e+05,0.354716777801514,5,12.21061,185597.862632054,1
1e+06,3.47371196746826,5,14.037879,1755970.68598886,1
1e+07,45.6290066242218,5,23.6388671,350423002.407522,2
100,0.0406441688537598,6,10.26,1593.64888888889,1
1000,0.0571463108062744,6,10.768,8748.09427027027,1
10000,0.0721440315246582,6,7.8838,8781.93329088909,1
1e+05,0.638861417770386,6,21.19627,7093548.3107512,2
1e+06,5.5607635974884,6,22.6612609999999,90701032.1117109,1
1e+07,35.8516976833344,6,14.6964031,3960433.58417612,1
100,0.0428009033203125,7,3.43,98.5708080808081,1
1000,0.0530519485473633,7,8.669,4256.04348248248,1
10000,0.0841588973999023,7,9.3092,11752.147210081,2
1e+05,0.561816215515137,7,15.7346,2445377.85124135,2
1e+06,3.11150979995728,7,13.253641,1196405.25969451,1
1e+07,196.813558340073,7,97.8970259000017,64975596978.7433,1
100,0.0407421588897705,8,29.65,68243.6843434343,1
1000,0.0516655445098877,8,5.524,262.137561561562,1
10000,0.0990180969238281,8,10.692,27550.7596119612,2
1e+05,2.87646698951721,8,72.05113,359345795.683052,2
1e+06,5.28133225440979,8,14.763442,3292345.98907229,2
1e+07,35.5543546676636,8,14.8923253,6014651.26271479,2
100,0.0398178100585938,9,3.7,67.5656565656566,1
1000,0.0566635131835938,9,10.005,21835.6646396396,2
10000,0.0855703353881836,9,11.9383,239733.330626173,1
1e+05,0.35491943359375,9,9.90799,31537.7551017109,1
1e+06,6.64098334312439,9,18.797384,14639957.3725422,1
1e+07,41.5078568458557,9,19.3136873999999,61507980.3138502,2
100,0.0398638248443604,10,4.58,119.781414141414,1
1000,0.0550100803375244,10,8.139,7131.07675575576,1
10000,0.110174655914307,10,12.5739,41697.0992487149,1
1e+05,0.320802211761475,10,9.16096,22490.5498773772,1
1e+06,8.01836109161377,10,19.360231,7633283.45544808,1
1e+07,38.0256822109222,10,17.1263477,15668130.1288438,1
100,0.383917808532715,1,7.66,733.054949494949,1.5
1000,0.0706303119659424,1,9.351,6238.26606506507,2
10000,0.123509883880615,1,13.492,122158.283364336,1
1e+05,0.363313913345337,1,11.36582,163416.947605204,1
1e+06,5.38606405258179,1,16.351569,3105609.90423814,1
1e+07,35.4317605495453,1,17.4603883,20936921.9564904,1
100,0.040902853012085,2,13.71,5167.66252525253,2
1000,0.0556049346923828,2,5.574,708.951475475475,2
10000,0.0941627025604248,2,10.5653,48542.2823641464,1
1e+05,0.635944843292236,2,12.66038,119339.631054566,2
1e+06,5.89171409606934,2,17.736823,5966682.33436715,2
1e+07,33.7214903831482,2,15.1873898000001,5829925.28157225,1
100,0.0394515991210938,3,6.09,819.072626262626,1
1000,0.060471773147583,3,13.651,29833.5327317317,1
10000,0.0863857269287109,3,9.0879,7605.66213980398,1
1e+05,0.327535629272461,3,11.48812,138900.511703983,1
1e+06,3.2922043800354,3,14.578244,1655915.48022737,1
1e+07,37.8252158164978,3,18.3206678,40873847.5830069,1
100,0.0400600433349609,4,3.76,42.1842424242424,1
1000,0.0625693798065186,4,13.216,43239.4568008008,2
10000,0.11737585067749,4,21.1827,1048620.98601931,1
1e+05,0.946899652481079,4,17.14711,927307.264121289,1
1e+06,6.03636860847473,4,17.467937,11240593.6234856,2
1e+07,41.4460887908936,4,21.3286073000001,266710697.206501,1
100,0.0401272773742676,5,3.72,42.829898989899,1
1000,0.0614278316497803,5,10.792,5901.64438038038,1
10000,0.103504657745361,5,9.8479,19806.7196375538,1
1e+05,0.306754350662231,5,10.01061,102475.289530323,1
1e+06,5.06061458587646,5,13.401178,2060051.780808,1
1e+07,43.2214117050171,5,19.4759837999997,54938049.4797152,1
100,0.0391418933868408,6,2.75,20.0479797979798,1
